question,answer,choices.0.text,choices.0.correct,choices.1.text,choices.1.correct,choices.2.text,choices.2.correct,choices.3.text,choices.3.correct,images,category
"ในขณะขับรถผู้ขับขี่ต้องมีเอกสารใดใช้คู่กับใบอนุญาตขับรถ",ในขณะขับรถผู้ขับขี่ต้องมีเอกสารสำเนาภาพถ่ายใบคู่มือจดทะเบียนรถใช้คู่กับใบอนุญาต   ขับรถ,บัตรประจำตัวประชาชน,false,สำเนาทะเบียนบ้าน,false,สำเนาภาพถ่ายใบคู่มือจดทะเบียนรถ,true,บัตรประกันสังคม,false,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ขับรถกระทำผิดตามกฎหมายจราจรทางบกและได้รับใบสั่งจากเจ้าพนักงานจราจรต้องไปติดต่อชำระค่าปรับภายในกี่วัน",ผู้ขับรถกระทำผิดตามกฎหมายจราจรทางบกและได้รับใบสั่งจากเจ้าพนักงานจราจร ต้องไปติดต่อชำระค่าปรับภายใน 7 วัน,10 วัน,false,7 วัน,true,15 วัน,false,30 วัน,false,[  ],กฎหมายว่าด้วยรถยนต์
"เมื่อใบอนุญาตขับรถสูญหายหรือชำรุดต้องยื่นขอรับใบแทนต่อนายทะเบียนภายในกี่วัน",เมื่อใบอนุญาตขับรถสูญหายหรือชำรุดต้องยื่นขอรับใบแทนต่อนายทะเบียนภายใน 15 วัน,20 วัน,false,30 วัน,false,15 วัน,true,45 วัน,false,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ขับรถไม่มีใบอนุญาตขับรถ มีความผิดอย่างไร","ผู้ขับรถไม่มีใบอนุญาตขับรถ มีความผิดจำคุกไม่เกิน 1 เดือน หรือปรับไม่เกิน 1,000 บาท หรือทั้งจำทั้งปรับ",จำคุกไม่เกิน 1 ปี,false,"จำคุกไม่เกิน 1 เดือน หรือปรับไม่เกิน 1,000 บาท หรือทั้งจำทั้งปรับ",true,"ปรับไม่เกิน 2,000 บาท",false,"ปรับไม่เกิน 5,000 บาท",false,[  ],กฎหมายว่าด้วยรถยนต์
"ใบอนุญาตขับรถชนิดชั่วคราวมีอายุกี่ปี",ใบอนุญาตขับรถชนิดชั่วคราวมีอายุ 1 ปี,2 ปี,false,1 ปี,true,3 ปี,false,4 ปี,false,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ขับรถใช้ใบอนุญาตขับรถที่สิ้นอายุมีความผิดอย่างไร","ผู้ขับรถใช้ใบอนุญาตขับรถที่สิ้นอายุ มีความผิดปรับไม่เกิน 2,000 บาท",ปรับไม่เกินห้าพันบาท,false,จำคุกไม่เกินสามเดือน,false,ปรับไม่เกินสองพันบาท,true,จำคุกไม่เกินหนึ่งเดือน,false,[  ],กฎหมายว่าด้วยรถยนต์
"รถที่ไม่เสียภาษีประจำปีภายในกำหนดจะต้องเสียเงินเพิ่มเท่าใด",รถที่ไม่เสียภาษีประจำปีภายในกำหนด จะต้องเสียเงินเพิ่มร้อยละ 1 ต่อเดือน,ร้อยละ 1 ต่อเดือน,true,ร้อยละ 1 ต่อปี,false,ร้อยละ 10 ต่อเดือน,false,ร้อยละ 20 ต่อปี,false,[  ],กฎหมายว่าด้วยรถยนต์
"การโอนรถต้องแจ้งต่อนายทะเบียนภายในกี่วัน",การโอนรถต้องแจ้งต่อนายทะเบียนภายใน 15 วัน,15 วัน,true,45 วัน,false,20 วัน,false,30 วัน,false,[  ],กฎหมายว่าด้วยรถยนต์
"การเปลี่ยนสีรถต้องแจ้งต่อนายทะเบียนภายในกี่วัน",การเปลี่ยนสีรถต้องแจ้งต่อนายทะเบียนภายใน 7 วัน,7 วัน,true,10 วัน,false,15 วัน,false,20 วัน,false,[  ],กฎหมายว่าด้วยรถยนต์
"การต่ออายุใบอนุญาตขับรถส่วนบุคคล (5 ปี) สามารถต่อก่อนล่วงหน้าได้เท่าใด",การต่ออายุใบอนุญาตขับรถส่วนบุคคล (5 ปี) สามารถต่อก่อนล่วงหน้าได้ 3 เดือน,3 เดือน,true,4 เดือน,false,6 เดือน,false,5 เดือน,false,[  ],กฎหมายว่าด้วยรถยนต์
